KW,Bulk 2.0,Bulk 2.05,Bulk 2.1
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.12,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.13,0.24,0.17,0.17
0.14,0.24,0.17,0.17
0.13,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.12,0.24,0.17,0.17
0.17,0.24,0.17,0.17
0.25,0.24,0.17,0.17
0.29,0.24,0.17,0.17
0.29,0.24,0.17,0.17
0.28,0.24,0.17,0.17
0.27,0.24,0.17,0.17
0.25,0.25,0.19,0.17
0.25,0.25,0.19,0.17
0.24,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.20,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.20,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.23,0.25,0.19,0.17
0.24,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.20,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.20,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.23,0.25,0.19,0.17
0.23,0.25,0.19,0.17
0.23,0.25,0.19,0.17
0.23,0.24,0.17,0.15
0.23,0.24,0.17,0.15
0.22,0.24,0.17,0.15
0.21,0.24,0.17,0.15
0.21,0.24,0.17,0.15
0.21,0.24,0.17,0.15
0.20,0.24,0.17,0.15
0.19,0.24,0.17,0.15
0.19,0.24,0.17,0.15
0.20,0.24,0.17,0.15
0.20,0.24,0.17,0.15
0.20,0.24,0.17,0.15
0.19,0.24,0.17,0.15
0.19,0.24,0.17,0.15
0.18,0.24,0.17,0.15
0.17,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.17,0.24,0.17,0.15
0.17,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.14,0.24,0.17,0.15
0.13,0.24,0.17,0.15
0.13,0.24,0.17,0.15
0.13,0.25,0.2,0.19
0.13,0.25,0.2,0.19
0.14,0.25,0.2,0.19
0.14,0.25,0.2,0.19
0.15,0.25,0.2,0.19
0.15,0.26,0.21,0.21
0.14,0.26,0.21,0.21
0.14,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.17,0.26,0.21,0.21
0.17,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.14,0.26,0.21,0.21
0.14,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.14,0.26,0.21,0.21
0.14,0.26,0.21,0.21
0.14,0.26,0.21,0.21
0.14,0.26,0.21,0.21
0.17,0.26,0.21,0.21
0.19,0.26,0.21,0.21
0.21,0.26,0.21,0.21
0.22,0.26,0.21,0.21
0.22,0.26,0.21,0.21
0.22,0.26,0.21,0.21
0.22,0.26,0.21,0.21
0.20,0.26,0.21,0.21
0.18,0.26,0.21,0.21
0.18,0.26,0.21,0.21
0.18,0.26,0.21,0.21
0.19,0.26,0.21,0.21
0.20,0.26,0.21,0.21
0.19,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.16,0.26,0.21,0.21
0.17,0.26,0.21,0.21
0.18,0.26,0.21,0.21
0.18,0.26,0.21,0.21
0.18,0.26,0.21,0.21
0.17,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.15,0.26,0.21,0.21
0.16,0.25,0.19,0.19
0.17,0.25,0.19,0.19
0.19,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.24,0.25,0.19,0.19
0.28,0.25,0.19,0.19
0.31,0.25,0.19,0.19
0.31,0.25,0.19,0.19
0.28,0.25,0.19,0.19
0.25,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.19,0.25,0.19,0.19
0.18,0.25,0.19,0.19
0.18,0.25,0.19,0.19
0.19,0.25,0.19,0.19
0.20,0.25,0.19,0.19
0.19,0.25,0.19,0.19
0.18,0.25,0.19,0.19
0.19,0.25,0.19,0.19
0.20,0.25,0.19,0.19
0.17,0.25,0.19,0.19
0.14,0.25,0.19,0.19
0.13,0.25,0.19,0.19
0.13,0.25,0.19,0.19
0.14,0.25,0.19,0.19
0.14,0.25,0.19,0.19
0.14,0.25,0.19,0.19
0.16,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.26,0.25,0.19,0.19
0.26,0.25,0.19,0.19
0.25,0.25,0.19,0.19
0.23,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.23,0.25,0.19,0.19
0.24,0.25,0.19,0.19
0.27,0.25,0.19,0.19
0.30,0.25,0.19,0.19
0.33,0.25,0.19,0.19
0.34,0.25,0.19,0.19
0.34,0.25,0.19,0.19
0.34,0.25,0.19,0.19
0.34,0.25,0.19,0.19
0.33,0.25,0.19,0.19
0.33,0.25,0.19,0.19
0.33,0.25,0.19,0.19
0.33,0.25,0.19,0.19
0.30,0.25,0.19,0.19
0.26,0.25,0.19,0.19
0.23,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.21,0.25,0.19,0.19
0.19,0.25,0.19,0.19
0.17,0.25,0.19,0.19
0.16,0.25,0.19,0.19
0.18,0.25,0.19,0.19
0.21,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.21,0.25,0.19,0.19
0.21,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.20,0.25,0.19,0.19
0.19,0.25,0.19,0.19
0.19,0.25,0.19,0.19
0.18,0.25,0.19,0.19
0.17,0.25,0.19,0.19
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.11,0.24,0.16,0.16
0.11,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.18,0.24,0.16,0.16
0.20,0.24,0.16,0.16
0.23,0.24,0.16,0.16
0.24,0.24,0.16,0.16
0.23,0.24,0.16,0.16
0.21,0.24,0.16,0.16
0.23,0.24,0.16,0.16
0.24,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.26,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.21,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.11,0.24,0.16,0.16
0.11,0.24,0.16,0.16
0.11,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.17,0.24,0.16,0.16
0.17,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.16,0.24,0.15,0.16
0.16,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.14,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.13,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.22,0.22,0.15,0.16
0.28,0.22,0.15,0.16
0.31,0.22,0.15,0.16
0.32,0.22,0.15,0.16
0.31,0.22,0.15,0.16
0.29,0.22,0.15,0.16
0.29,0.22,0.15,0.16
0.28,0.22,0.15,0.16
0.28,0.22,0.15,0.16
0.27,0.22,0.15,0.16
0.26,0.22,0.15,0.16
0.24,0.22,0.15,0.16
0.23,0.22,0.15,0.16
0.20,0.22,0.15,0.16
0.18,0.22,0.15,0.16
0.19,0.22,0.15,0.16
0.18,0.22,0.15,0.16
0.15,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.11,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.22,0.15,0.16
0.12,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.12,0.23,0.16,0.13
0.12,0.23,0.16,0.13
0.12,0.23,0.16,0.13
0.12,0.23,0.16,0.13
0.12,0.23,0.16,0.13
0.12,0.23,0.16,0.13
0.12,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.14,0.23,0.16,0.13
0.14,0.23,0.16,0.13
0.14,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.12,0.23,0.16,0.13
0.12,0.23,0.16,0.13
0.12,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.14,0.23,0.16,0.13
0.14,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.14,0.23,0.16,0.13
0.15,0.23,0.16,0.13
0.16,0.23,0.16,0.13
0.16,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.13,0.23,0.16,0.13
0.16,0.23,0.16,0.13
0.18,0.23,0.16,0.13
0.20,0.23,0.16,0.13
0.21,0.23,0.16,0.13
0.21,0.23,0.16,0.13
0.21,0.23,0.16,0.13
0.21,0.28,0.21,0.22
0.20,0.31,0.24,0.26
0.20,0.31,0.24,0.26
0.19,0.31,0.24,0.26
0.18,0.31,0.24,0.26
0.17,0.31,0.24,0.26
0.15,0.31,0.24,0.26
0.15,0.31,0.24,0.26
0.15,0.31,0.24,0.26
0.14,0.31,0.24,0.26
0.14,0.31,0.24,0.26
0.14,0.31,0.24,0.26
0.15,0.31,0.24,0.26
0.16,0.31,0.24,0.26
0.20,0.31,0.24,0.26
0.27,0.31,0.24,0.26
0.30,0.31,0.24,0.26
0.30,0.31,0.24,0.26
0.31,0.31,0.24,0.26
0.30,0.31,0.24,0.26
0.28,0.31,0.24,0.26
0.25,0.31,0.24,0.26
0.24,0.31,0.24,0.26
0.24,0.31,0.24,0.26
0.26,0.31,0.24,0.26
0.29,0.31,0.24,0.26
0.31,0.31,0.24,0.26
0.33,0.31,0.24,0.26
0.33,0.31,0.24,0.26
0.32,0.31,0.24,0.26
0.32,0.31,0.24,0.26
0.33,0.31,0.24,0.26
0.32,0.31,0.24,0.26
0.31,0.31,0.24,0.26
0.29,0.31,0.24,0.26
0.26,0.31,0.24,0.26
0.25,0.31,0.24,0.26
0.26,0.31,0.24,0.26
0.26,0.31,0.24,0.26
0.26,0.31,0.24,0.26
0.25,0.31,0.24,0.26
0.24,0.31,0.24,0.26
0.23,0.31,0.24,0.26
0.21,0.31,0.24,0.26
0.19,0.31,0.24,0.26
0.18,0.31,0.24,0.26
0.19,0.31,0.24,0.26
0.25,0.31,0.24,0.26
0.31,0.31,0.24,0.26
0.33,0.31,0.24,0.26
0.33,0.31,0.24,0.26
0.32,0.31,0.24,0.26
0.32,0.31,0.24,0.26
0.32,0.31,0.24,0.26
0.33,0.31,0.24,0.26
0.32,0.31,0.24,0.26
0.31,0.31,0.24,0.26
0.31,0.31,0.24,0.26
0.30,0.31,0.24,0.26
0.31,0.31,0.24,0.26
0.31,0.31,0.24,0.26
0.32,0.31,0.24,0.26
0.33,0.31,0.24,0.26
0.32,0.31,0.24,0.26
0.27,0.31,0.24,0.26
0.22,0.31,0.24,0.26
0.18,0.31,0.24,0.26
